distance,dB,speed,,station,code,station distance
9520,70,69.5,,,,
9530,70.2,69.5,,,,
9540,69.6,69.3,,,,
9550,69.1,69.1,,,,
9560,68.8,69.1,,,,
9570,68.8,68.9,,,,
9580,68.6,68.9,,,,
9590,68.1,68.8,,,,
9600,67.6,68.6,,,,
9610,67.3,68.4,,,,
9620,66.7,68.2,,,,
9630,66.6,68.4,,,,
9640,66.6,68.4,,,,
9650,67.3,68.8,,,,
9660,67.6,69.1,,,,
9670,67.9,69.5,,,,
9680,68.3,69.5,,,,
9690,68.4,69.9,,,,
9700,69,69.9,,,,
9710,69.3,69.9,,,,
9720,69.5,69.5,,,,
9730,69.8,69.1,,,,
9740,69.6,68.8,,,,
9750,69.3,68.4,,,,
